Food Item,Quantity,Unit,Fat,Protein,Carb,Fiber,Net Carb,Calories,Food Item,B1(Thiamine) mg,B2 (Riboflavin) mg,B3 (Niacin) mg,B5 (Pantothenic Acid) mg,B6 (Pyridoxine) mg,B12 (Cobalamin) mg,B7 (Biotin) mg,B8 (Choline) mg,B9 (Folate) mg,Vitamin A IU,Vitamin C mg,Vitamin D IU,Vitamin E mg,Vitamin K mg,Food Item,Calcium mg,Copper mg,Iron mg,Magnesium mg,Manganese mg,Phosphosus mg,Potassium mg,Selenium mg,Sodium mg,Zinc mg
Strawberry,100,gram,0.3,0.7,7.7,2,5.7,36,"Strawberries, Fresh",0.02,0.02,0.39,0.13,0.05,0,0,5.7,24,12,58.8,0,0.28,2.2,"Strawberries, Fresh",16,0.05,0.41,13,0.39,24,153,0.4,1,0.14
Blackberry ,100,gram,0.5,1.4,10.2,5.3,4.9,50,"Blackberries, Fresh",0.02,0.03,0.65,0.28,0.03,0,0,8.5,25,214,21,0,1.43,19.8,"Blackberries, Fresh",29,0.17,0.62,20,0.65,22,162,0.4,1,0.53
Raspberry,100,gram,0.7,1.2,11.9,6.5,5.4,58,"Raspberries, Fresh, Red",0.03,0.04,0.6,0.33,0.06,0,0,12.3,21,33,26.2,0,0.85,7.8,"Raspberries, Fresh, Red",25,0.09,0.69,22,0.67,29,151,0.2,1,0.42
Narkel (Coconut),100,gram,33.5,3.3,15.2,9,6.2,375,"Coconut, Fresh",0.07,0.02,0.54,0.3,0.05,0,0,12.1,26,0,3.3,0,0,0.2,"Coconut, Fresh",14,0.44,2.43,32,1.5,113,356,10.1,20,1.1
Kola (Banana) ,100,gram,0.3,1.1,22.8,2.6,20.2,89,"Banana, Fresh",0.03,0.07,0.67,0.33,0.37,0,0.13,9.8,20,64,8.7,0,0.13,0.5,"Banana, Fresh",5,0.08,0.26,27,0.27,22,358,1,1,0.15
Apple,100,gram,0.2,0.3,14,2.4,11.6,52,"Apple, Fresh, With Skin",0.02,0.03,0.09,0.06,0.04,0,0,3.4,3,54,4.6,0,0.21,2.2,"Apple, Fresh, With Skin",6,0.03,0.12,5,0.04,11,107,0,1,0.04
Khejur (Dates),100,gram,0.4,2.5,75,8,67,282,"Dates, Dried",0.05,0.07,1.27,0.59,0.17,0,0,6.3,19,10,0.4,0,0.06,2.7,"Dates, Dried",39,0.21,1.02,43,0.26,62,656,3,2,0.29
Tetul (Tamarind),100,gram,0.6,2.8,63,5,58,239,"Tamarind, Fresh",0.43,0.15,1.94,0.14,0.07,0,0,8.6,14,30,3.5,0,0.1,2.8,"Tamarind, Fresh",74,0.09,2.8,92,0.15,113,628,1.3,28,0.1
Jaam (Java Plum),100,gram,0.3,0.7,14,2.4,11.6,57,Jaam (Java Plum),0.01,0.01,0.26,0.34,0.04,0,0,7.4,17.6,3,14.3,0,0.2,3.5,Jaam (Java Plum),19,0.23,0.19,15,0.03,17,79,0.55,14,0.06
Aam (Mango),100,gram,0.4,0.8,15,1.6,13.4,60,Aam (Mango),0.03,0.04,0.67,0.2,0.12,0,0,7.6,43,1082,36.4,0,0.9,4.2,Aam (Mango),11,0.11,0.16,10,0.06,14,168,0.6,1,0.09
Amra (Hog Plum),100,gram,0.2,0.3,13.6,2.4,11.2,57,Amra (Hog Plum),0.28,0.04,0.3,0,0,0,0,0,0,0,77,0,0,0,Amra (Hog Plum),57,0.11,2.8,40,0,11,175,0,1,0.17
Daber Pani (Coconut Water),250,ml,0.5,1.7,8.9,2.5,6.4,46,Daber Pani (Coconut Water),0.08,0.14,0.2,0.11,0.08,0,0,2.75,7.5,0,6,0,0,0,Daber Pani (Coconut Water),60,0.1,0.73,62.5,0.36,50,625,2.5,262.5,0.25
Akher Rosh (Sugar Cane Juice),250,ml,4,4,10,0,10,130,Sugar Cane Beverage,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,Sugar Cane Beverage,8,0.06,1.1,10,0,6,25,0,7,0.01
Nashpati (Pear),100,gram,0.1,0.4,15,3.1,11.9,57,"Pear, Fresh",0.01,0.03,0.16,0.05,0.03,0,0,5.1,7,25,4.3,0,0.21,4.4,"Pear, Fresh",9,0.08,0.18,7,0.05,12,116,0.1,1,0.1
Dalim/Bedana/Anar (Pomegranate),100,gram,1.4,1.7,19,4,15,83,"Pomegranate, Fresh,",0.07,0.05,0.29,0.38,0.08,0,0,7.6,38,0,10.2,0,0.6,16.4,"Pomegranate, Fresh,",10,0.16,0.3,12,0.12,36,236,0.5,3,0.35
Anaros (Pineapple),100,gram,0.1,0.5,13,1.4,11.6,50,"Pineapple, Fresh",0.08,0.03,0.5,0.21,0.11,0,0,5.5,18,58,47.8,0,0.02,0.7,"Pineapple, Fresh",13,0.11,0.29,12,0.93,8,109,0.1,1,0.12
Tormuj (Watermelon),100,gram,0.2,0.6,8,0.4,7.6,30,"Watermelon, Fresh",0.03,0.02,0.18,0.22,0.05,0,0,4.1,3,569,8.1,0,0.05,0.1,"Watermelon, Fresh",7,0.04,0.24,10,0.04,11,112,0.4,1,0.1
